"export"
"https://www.eia.gov/realtime_grid/#/data/table?end=20180131&start=20180101&frequency=Daily&bas=0&regions=ndvo"
"Thu Mar 01 2018 08:43:41 GMT+0900 (KST)"
"Source: U.S. Energy Information Administration"
megawatthours,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018,01/13/2018,01/14/2018,01/15/2018,01/16/2018,01/17/2018,01/18/2018,01/19/2018,01/20/2018,01/21/2018,01/22/2018,01/23/2018,01/24/2018,01/25/2018,01/26/2018,01/27/2018,01/28/2018,01/29/2018,01/30/2018,01/31/2018
Net generation,577335,712866,710698,816437,802077,735814,693428,581746,517057,506591,523771,526609,535626,627988,639644,600128,554010,791277,739905,590680,507108,526468,531544,535105,547142,541637,495008,505551,532580,547709,597838
Total net actual interchange,1032,-2651,-16431,-19396,-27922,-14767,1142,-585,-4547,-12125,-12707,-11437,3790,-5966,1441,-6530,5326,-21888,-18245,-22530,-15869,-15619,-14968,-13020,-17460,-8960,-12645,-15337,-16434,-9185,-9486
New England ISO (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,415254,433185,414103,411596,405853,432326,425098,406431,374027,357663,339706,327437,324313,367492,409112,384220,340555,363352,370664,332460,319702,335583,354884,353245,355899,367990,327098,315277,345978,374166,370748
Net generation,356385,381866,350993,337316,331577,360724,358107,332421,292231,273226,253173,261820,255164,296894,340991,301446,276136,302004,302361,268245,252455,272528,288157,289551,288833,298862,266617,256040,283517,300598,298601
Total net actual interchange,-58869,-51319,-63110,-74280,-74276,-71602,-66991,-74010,-81796,-84437,-86533,-65617,-69149,-70598,-68121,-82774,-64419,-61348,-68303,-64215,-67247,-63055,-66727,-63694,-67066,-69128,-60481,-59237,-62461,-73568,-72147
Mid-Atlantic (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,2828052,2999509,2959050,2943463,3106793,3048000,2920736,2733078,2464497,2432884,2210446,2154727,2350154,2643616,2785334,2694122,2800023,2787844,2535992,2186232,2045595,2097578,2150329,2336201,2431268,2381187,2084692,1971096,2286143,2541706,2573360
Net generation,2893869,3045868,2992263,3008785,3125826,3013255,2898947,2737348,2499392,2489883,2272990,2315590,2441631,2657123,2787174,2728979,2868004,2846958,2597086,2269634,2131042,2183384,2276472,2406900,2514162,2442021,2160794,2030863,2356005,2579115,2621997
Total net actual interchange,64583,45109,31839,64288,17576,-36193,-23171,2924,33651,55956,61907,160023,90714,12437,248,33596,66826,57982,60344,83457,85647,85706,125860,69951,81709,59371,75200,59392,69108,36108,47449
Midwest (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,2423419,2594934,2499118,2469049,2425410,2338606,2132763,2051133,2043084,1960115,1933763,2255555,2268411,2262002,2358162,2510697,2532192,2369568,2139957,1839646,1705639,1857502,2008735,2081147,2053952,1930339,1748994,1769174,2070593,2171257,2044682
Net generation,2427198,2594312,2504162,2478747,2443201,2355217,2159744,2060670,2031325,1920010,1867633,2106388,2213357,2277523,2373092,2518081,2535601,2384979,2128364,1755470,1618022,1782856,1885877,2022083,2021152,1903313,1681578,1696261,2012275,2165554,2049508
Total net actual interchange,29074,36042,50189,7389,32646,58900,62270,18854,-12354,-40514,-66967,-151301,-57279,35101,58687,13618,578,23740,-9234,-85008,-88103,-75135,-124541,-60965,-33578,-27893,-68896,-74457,-60057,-6519,5387
Northwest (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,921769,1077746,1066919,1045717,1013571,965554,961339,1009317,994486,1009069,852130,983553,933998,929542,998357,1000203,993724,989059,1001104,969399,979243,1030898,1042140,1014810,1029668,1029778,973589,920900,968798,977233,1001536
Net generation,1183358,1310525,1308173,1288499,1254609,1229728,1204437,1268717,1250177,1274348,862261,1245055,1199809,1192501,1257645,1261856,1265189,1264018,1268072,1226227,1230839,1293372,1286840,1284816,1291883,1305555,1244186,1156841,1223751,1251397,1249465
Total net actual interchange,232321,200448,210552,213455,212827,236707,214291,228944,227074,234673,-21112,233006,238472,235075,228392,229492,243482,248582,240409,226588,224121,236087,218937,245180,236668,254411,248383,213804,233420,253113,223587
New York Independent System Operator (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,489207,511796,499453,499875,525841,516445,501834,497422,468347,459615,437296,423455,428662,459524,489072,478555,475211,484010,466418,413712,399325,430596,428773,444615,464460,453354,408611,390668,433949,460947,471856
Net generation,418937,449214,437553,446403,491736,491552,465015,441350,411012,373359,370051,341339,335377,393342,421741,399345,393085,395164,366325,328294,313449,340642,346748,363794,375733,366221,330598,311906,350606,373919,372891
Total net actual interchange,-70270,-62582,-61900,-53472,-34105,-24893,-36819,-56072,-57335,-86256,-67245,-82116,-93285,-66182,-67331,-79210,-82126,-88846,-100093,-85418,-85876,-89954,-82025,-80821,-88727,-87133,-78013,-78762,-83343,-87028,-98965
Southeast (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,874316,966806,914543,938659,938815,868343,838019,784436,656212,598350,583967,611820,816170,843063,814539,825009,905614,957060,853431,705508,611052,612625,609214,706868,726957,702443,584697,552050,597879,728035,758368
Net generation,872269,930021,890898,909835,932405,870028,822783,779088,670285,629526,613880,657274,820099,838783,817472,829441,911252,948009,856702,726913,628781,632299,639126,721994,743735,712738,605970,576927,629685,739871,755801
Total net actual interchange,-2387,-37199,-23625,-28790,-6358,1745,-15186,-5307,11723,28622,26326,42030,571,-5702,355,3732,4303,-8407,3226,19723,14937,16506,27082,13087,14578,8398,19181,22088,28957,11196,-3087
Southwest (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,239435,247497,249977,244629,243821,237015,228950,240797,237036,240115,241647,245562,236114,229843,244411,249653,249294,250855,245447,244539,254534,275584,268322,257744,252719,249360,245185,238245,243448,244683,243553
Net generation,291626,309847,327944,304944,302300,295811,287043,313390,320028,316786,322186,324561,313245,282994,318684,323476,314001,312822,306364,306864,322336,346634,329440,322862,306741,302365,291262,286813,304136,301257,300386
Total net actual interchange,52037,62027,73864,58344,58383,58774,57471,72011,82969,76619,80516,78965,65983,52096,74251,72901,64681,61942,60893,62303,67780,71066,61087,65096,53999,52982,45783,48546,60320,56550,56809
Tennessee Valley Authority (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,652231,672583,611896,650200,637707,614773,563595,517508,464363,413697,387152,483738,592880,598452,546416,632187,706016,653455,568314,434938,385468,401288,443637,479183,489417,458111,391373,377845,459011,518920,488353
Net generation,631453,658422,622380,664108,654791,630889,570355,533406,479760,429902,403954,486198,576939,593325,555158,619446,671630,643732,564141,432464,383436,398571,443105,493375,501090,470688,403973,391767,472159,535172,509005
Total net actual interchange,-20778,-14161,10484,13908,17084,16116,6760,15898,15397,16205,16802,2460,-15941,-5127,8742,-12741,-34386,-9723,-4173,-2474,-2032,-2717,-532,14192,11673,12576,12600,13922,13148,16252,20652
United States Lower 48 (region),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand,13168713,14164785,13713690,13685040,13643323,13137875,12285963,11916797,11249863,10894097,10426520,11174422,11678194,12135045,12532464,12976268,13231102,13209314,12102645,10545364,9933374,10523035,10843841,11314835,11494327,11037519,9976307,9774519,11041296,11793530,11539107
Net generation,13177805,14108939,13660890,13663104,13589908,13072043,12271366,11918596,11267328,10882617,10133596,11318203,11762994,12160237,12631088,13158859,13408814,13263948,12080562,10429469,9781212,10503302,10836705,11324525,11480783,10985508,9860629,9669691,11016637,11777425,11510787
Total net actual interchange,18252,-37764,-33399,-43065,-37430,-34202,4307,-18989,-13619,-30214,-285208,-856,-54825,-22584,-5392,-38973,-36651,-52485,-59073,-80846,-86489,-47400,-50493,-26632,-34524,-36683,-43258,-73499,-43119,-26920,-42769 
